"t_id","feature1","feature2","feature3","feature4","feature5","feature6","feature7","feature8","feature9","feature10","feature11","feature12","feature13","feature14","feature15","feature16","feature17","feature18","feature19","feature20","feature21","sums","kinetic"
8068,9,5,3,10,8,10,0,2,8,1,9,8,1,1,7,2,2,1,9,7,9,8.76897653446277,0.138321995464853
9235,7,10,7,8,4,5,2,3,4,2,5,4,4,8,9,4,2,6,6,9,6,7.51403061776941,0.138321995464853
1595,8,6,10,10,10,10,0,0,9,7,1,10,10,8,1,1,8,6,5,2,1,10.091350896921,0.165532879818594
2535,7,5,2,1,5,2,4,0,7,8,5,4,3,4,6,1,8,8,4,6,4,5.39774546064147,0.138321995464853
9728,9,1,7,8,10,8,6,7,8,7,0,7,9,7,6,7,7,9,0,6,1,9.78713954751638,0.192743764172336
8917,2,3,3,4,4,6,7,8,3,3,4,3,2,1,2,9,5,1,4,2,4,3.9760607567733,0.170068027210884
9821,5,6,2,5,3,6,6,5,3,5,6,5,2,3,8,6,6,4,6,7,5,5.86635860328346,0.229024943310658
7127,2,6,3,2,0,2,7,9,1,5,4,0,1,3,7,10,7,6,6,5,5,5.59973878435249,0.115646258503401
10067,2,6,4,4,4,9,6,9,1,5,7,2,2,1,8,10,6,2,8,6,6,6.90393892498909,0.147392290249433
7567,7,10,5,9,8,8,4,2,6,1,8,6,2,1,4,4,1,1,9,8,9,7.75046640510174,0.138321995464853
11760,7,1,6,7,9,10,5,3,8,10,1,8,7,6,1,4,10,9,0,0,0,8.33834467053519,0.115646258503401
5521,1,10,4,3,0,0,5,3,0,0,1,1,2,3,10,3,0,0,3,10,1,3.79610871486771,0.201814058956916
196,1,5,2,3,6,6,6,7,4,0,2,2,3,4,1,4,1,0,3,2,3,2.84915580991589,0.147392290249433
12768,9,8,8,9,0,3,2,5,3,2,2,8,3,4,8,4,1,3,6,8,6,6.80506199462642,0.147392290249433
8149,7,2,7,8,9,7,3,4,9,8,4,7,8,7,4,3,8,9,5,3,5,8.62402227603909,0.165532879818594
13231,0,4,8,5,6,8,5,10,8,9,3,3,5,9,3,6,9,10,3,3,2,8.56545797687815,0.142857142857143
4998,4,5,7,3,2,2,7,7,3,2,3,2,8,9,5,7,2,3,3,5,3,5.21356481553082,0.201814058956916
162,4,4,1,4,9,5,3,1,3,9,9,9,3,2,6,0,4,2,10,5,9,6.82833803079,0.147392290249433
5504,4,8,0,2,7,4,6,1,5,8,9,3,1,1,9,2,6,5,9,8,9,7.51625894266038,0.120181405895692
4479,9,8,3,6,8,6,5,0,9,7,2,8,5,4,5,1,6,7,2,7,1,6.97194209392006,0.115646258503401
312,1,1,8,7,9,9,3,10,10,4,0,5,5,9,0,4,4,9,2,1,2,7.53722541700188,0.120181405895692
3838,4,2,4,3,4,5,9,5,5,3,6,4,4,5,8,7,2,6,6,8,5,6.09951119081088,0.165532879818594
3742,1,4,0,0,3,5,10,9,2,8,2,1,0,1,6,8,5,7,2,5,2,5.07416736431558,0.120181405895692
5349,9,0,9,8,9,7,1,1,9,6,2,9,10,9,1,1,8,6,2,0,1,8.7778158187189,0.179138321995465
6093,3,9,2,3,2,2,0,4,6,7,8,7,5,8,7,1,5,9,8,9,8,7.90914679266486,0.124716553287982
11200,2,10,5,1,3,2,3,0,4,1,5,2,6,7,10,0,0,1,6,10,5,5.41934991878877,0.124716553287982
10273,1,7,9,2,6,9,8,9,7,8,1,5,7,8,1,7,8,8,6,2,1,8.86528408133013,0.170068027210884
4403,3,4,5,3,3,1,10,6,3,4,4,3,3,3,4,5,4,5,8,5,7,4.77846157393297,0.215419501133787
7649,4,7,7,8,10,9,4,3,7,10,7,9,8,4,3,4,9,6,6,5,5,9.64006869309112,0.138321995464853
13154,5,5,1,0,0,1,10,9,2,1,3,1,1,5,4,9,2,4,4,6,3,4.45756046217246,0.138321995464853
13234,7,4,1,3,5,2,3,1,6,9,7,4,3,5,4,2,6,8,6,4,6,5.36346982988941,0.133786848072562
9978,6,3,8,8,3,1,5,3,6,1,10,6,7,7,3,4,0,1,10,5,9,7.14042876334844,0.120181405895692
10184,3,3,6,7,7,2,4,7,3,3,6,9,8,5,6,2,2,3,8,6,6,6.25098128910968,0.170068027210884
706,4,5,7,3,2,2,6,3,3,7,9,2,8,9,8,6,5,4,7,6,8,7.26716476045265,0.129251700680272
10160,3,8,8,4,3,2,4,5,4,2,4,4,5,3,7,3,4,4,7,8,5,5.07495425939518,0.206349206349206
10108,7,8,9,8,0,0,3,4,0,2,0,6,10,9,9,4,2,3,1,9,1,6.85812540492443,0.124716553287982
3454,5,2,10,10,2,8,1,6,2,10,1,10,4,3,0,4,9,8,3,0,1,7.28100494813163,0.120181405895692
9294,6,4,3,8,5,5,9,3,4,4,7,7,3,3,2,4,5,5,9,1,8,6.28524865937119,0.142857142857143
4792,3,5,6,6,9,9,7,9,6,8,7,4,5,5,5,8,8,5,7,4,6,8.77081221960613,0.165532879818594
10803,6,6,8,7,5,4,1,1,5,10,7,7,9,8,7,1,9,10,5,5,5,8.84957851646932,0.151927437641723
12053,10,3,2,9,10,9,3,4,10,9,2,10,4,6,6,7,7,7,2,3,1,9.18941576756578,0.138321995464853
9904,6,10,2,8,5,6,6,6,3,1,9,8,5,2,9,3,4,1,10,10,10,9.148805687421,0.129251700680272
5467,5,2,3,8,3,10,6,9,5,9,3,7,1,2,4,7,10,9,7,5,6,8.36599996399517,0.115646258503401
12089,3,3,5,6,9,9,3,4,5,8,5,5,5,1,2,4,8,4,7,1,5,5.87979783373672,0.156462585034014
7635,5,3,4,7,7,4,3,3,5,8,5,6,4,4,6,4,7,8,0,6,2,5.5667721604765,0.151927437641723
3079,1,3,4,4,7,4,6,9,2,2,0,4,4,3,0,6,2,2,3,1,1,3.36348336875507,0.156462585034014
1720,10,0,9,8,8,5,3,2,8,0,1,6,9,7,1,7,1,0,3,2,4,6.9056226595488,0.106575963718821
6612,10,0,9,10,8,8,1,2,8,3,3,10,10,10,0,3,7,3,2,1,2,8.35796495441061,0.156462585034014
10778,10,2,7,9,9,10,1,0,10,7,3,10,8,8,3,0,7,6,2,1,2,8.82337580531896,0.124716553287982
6211,10,0,1,10,10,9,6,7,10,10,3,9,1,0,0,5,10,9,1,0,1,9.29021526923274,0.183673469387755
5027,6,3,2,7,6,6,4,6,6,9,5,6,4,2,5,5,10,8,6,3,5,7.07249729945388,0.183673469387755
1765,8,2,1,5,8,0,1,1,8,3,10,9,0,5,9,0,1,4,3,3,1,5.53482516802005,0.142857142857143
8742,8,8,4,6,8,8,5,3,8,6,6,5,3,3,7,6,5,5,6,7,5,7.84398155574241,0.201814058956916
11677,1,6,4,2,1,2,8,8,1,8,9,0,1,2,3,9,10,7,7,6,8,7.14026159800438,0.129251700680272
3614,0,1,9,8,0,2,3,9,1,5,1,7,3,3,0,5,6,7,8,0,3,5.31160166297779,0.133786848072562
7082,1,8,2,1,2,2,7,8,1,2,7,0,2,3,7,9,3,1,5,9,4,5.39415251886705,0.147392290249433
979,10,6,9,9,8,5,0,0,8,4,4,10,10,10,9,0,4,5,3,6,3,9.26639019389603,0.133786848072562
8928,9,0,10,10,7,8,1,1,8,1,4,8,10,10,1,1,1,0,2,1,4,7.32864699555327,0.192743764172336
605,8,3,3,4,5,6,3,3,7,9,3,6,6,9,2,2,9,7,5,2,3,6.63222507697271,0.165532879818594
12945,5,2,3,7,8,8,2,4,4,10,0,8,1,1,0,5,9,9,2,0,0,6.03066485359743,0.120181405895692
5262,7,3,9,9,10,8,4,9,10,6,3,7,8,9,2,7,5,6,6,5,7,10.4347557360482,0.133786848072562
3180,7,9,5,8,2,7,4,8,0,8,9,7,4,5,5,8,8,4,7,7,8,9.1152498402555,0.192743764172336
5955,2,9,4,0,9,5,7,3,4,0,6,3,3,3,5,4,0,0,9,9,8,6.16835169109145,0.147392290249433
4871,6,2,5,6,5,9,3,8,7,10,3,8,2,5,5,4,9,10,3,2,3,7.52970266707522,0.133786848072562
10564,6,3,1,4,7,7,8,8,7,9,6,5,1,3,2,9,8,9,7,2,7,8.0642754992804,0.138321995464853
1530,2,4,2,4,1,2,7,8,2,5,4,1,2,2,2,8,7,6,4,5,6,4.54566023723512,0.192743764172336
3733,2,8,4,3,7,6,1,6,5,7,5,3,3,3,7,5,7,3,4,8,3,5.73890587029233,0.170068027210884
1078,3,9,3,2,3,0,3,1,4,1,5,2,2,5,9,3,1,2,7,8,6,4.43198145170233,0.142857142857143
1606,4,9,4,6,6,4,6,7,3,3,6,8,7,5,7,2,3,2,8,8,7,7.3493672788923,0.147392290249433
2171,9,2,2,9,7,1,0,3,6,3,6,9,5,7,5,1,2,4,4,5,5,5.63135924000411,0.124716553287982
513,10,10,4,4,4,3,8,4,5,4,9,4,3,3,9,8,4,7,9,6,10,8.92430942655297,0.188208616780045
5038,5,1,2,5,6,5,7,4,6,9,1,3,2,5,1,7,7,8,1,0,1,4.89378503387319,0.142857142857143
8803,9,2,2,9,7,8,0,0,7,6,0,8,3,4,3,1,6,5,1,3,2,5.46584320408836,0.111111111111111
3651,2,5,4,3,1,2,7,8,2,2,8,0,1,2,6,9,3,4,8,6,9,5.73816548250424,0.129251700680272
8044,8,2,4,7,7,9,0,2,8,9,5,8,4,4,4,2,10,7,5,1,5,7.33929798611777,0.133786848072562
5606,4,3,5,3,7,5,6,4,7,2,8,5,6,5,5,4,2,4,4,2,5,5.10938432237229,0.188208616780045
2367,2,3,3,1,2,1,10,7,2,3,8,3,3,3,3,8,2,2,8,3,8,5.13137882419724,0.251700680272109
6351,10,9,9,1,4,1,6,6,7,8,3,5,10,10,9,5,4,10,0,8,1,9.74837895299856,0.120181405895692
7676,6,3,3,7,6,2,3,4,7,5,8,5,6,6,5,4,5,5,8,3,8,6.62259927694229,0.170068027210884
5708,2,2,7,1,0,3,7,9,3,1,5,5,1,5,0,7,0,2,6,2,7,4.2377712151944,0.147392290249433
2032,4,1,9,4,4,4,8,5,5,8,1,3,6,7,2,8,8,4,0,2,0,5.53270040302438,0.138321995464853
7375,7,3,7,8,9,9,0,0,9,10,3,9,8,7,3,0,8,9,4,3,2,8.83173819146759,0.160997732426304
6263,10,6,1,4,9,5,7,1,10,8,5,10,8,8,6,1,9,8,6,5,6,9.93123824297772,0.147392290249433
1340,2,6,1,3,3,4,7,8,2,5,9,1,1,0,7,9,6,4,9,7,8,6.82131333641701,0.111111111111111
10957,9,1,10,9,9,10,2,2,9,5,4,8,10,9,2,3,7,6,4,2,3,9.35721536133145,0.142857142857143
7811,9,9,4,3,6,4,0,1,5,9,3,8,5,8,8,1,7,9,9,7,7,8.76370958581324,0.138321995464853
8139,10,8,9,9,9,10,2,1,9,2,7,9,8,6,8,1,0,4,9,8,7,10.8074431740613,0.160997732426304
10252,1,9,2,4,2,3,7,9,1,2,6,1,0,0,8,10,2,1,10,9,8,6.88901395711491,0.129251700680272
4081,4,2,4,5,3,1,3,4,5,9,5,4,2,1,1,4,4,9,7,3,7,4.53945013657528,0.170068027210884
6414,6,10,9,9,9,10,1,4,9,1,0,8,9,9,10,4,1,3,3,10,0,10.5852053281279,0.170068027210884
3089,10,1,7,9,9,9,6,2,9,9,0,9,8,9,2,3,10,7,0,1,0,10.020045847989,0.174603174603175
1424,0,1,4,1,1,0,9,4,0,9,2,0,6,5,1,7,8,7,2,0,1,4.20856912064612,0.156462585034014
39,7,9,3,9,6,9,1,4,4,5,9,6,5,5,4,5,4,4,10,5,10,8.21635774803476,0.174603174603175
11030,10,4,6,7,10,7,1,0,8,10,3,10,5,0,2,0,9,9,9,3,4,9.32226943029295,0.115646258503401
4284,10,3,9,9,7,4,0,0,8,4,5,10,10,10,4,0,5,4,4,5,4,8.50316248676382,0.174603174603175
5713,0,3,2,0,0,0,9,9,0,1,7,0,2,2,4,8,3,1,7,3,7,4.36486329225383,0.165532879818594
8707,5,0,6,3,1,2,5,2,1,1,1,3,5,8,2,4,3,1,1,0,1,2.22317892443692,0.188208616780045
3969,1,6,3,2,4,5,5,3,3,1,9,1,3,4,7,6,0,4,7,9,9,5.75385449665507,0.129251700680272
7847,8,6,3,8,5,3,2,4,6,7,4,5,6,9,7,4,6,8,4,6,4,6.97260885226298,0.165532879818594
4693,2,6,7,6,9,10,5,5,7,3,0,6,7,5,6,5,4,3,2,6,0,6.39933137822095,0.147392290249433
11796,0,6,7,0,0,0,9,10,0,5,5,0,6,7,7,10,5,3,8,9,6,7.31824361551351,0.165532879818594
133,3,10,4,5,3,7,4,3,4,2,5,2,3,5,9,5,4,1,3,10,5,5.61667950636633,0.174603174603175
3917,9,6,7,9,7,6,6,3,8,7,1,8,7,8,5,3,6,7,3,7,4,8.60012714022842,0.174603174603175
10247,1,4,3,2,2,0,9,6,1,3,4,2,3,2,3,8,5,6,4,1,3,3.46185905622633,0.151927437641723
7641,3,4,3,5,9,7,8,9,6,0,7,5,1,1,6,8,1,0,8,6,8,7.06574602963993,0.124716553287982
12466,9,1,9,8,7,7,4,1,7,9,6,7,8,9,2,2,8,9,5,1,6,9.34041650942287,0.156462585034014
2073,4,3,4,7,2,6,1,4,6,0,10,7,4,7,5,3,3,1,8,2,9,5.93956423523943,0.115646258503401
9917,9,5,6,8,10,8,2,3,10,10,1,10,6,9,5,3,10,9,0,8,0,10.7380839647773,0.138321995464853
3802,8,8,2,2,5,2,6,6,8,2,9,2,8,9,6,9,3,1,9,7,5,7.96325417291282,0.165532879818594
13283,7,2,2,6,8,8,3,6,5,9,6,6,1,1,4,5,8,10,5,3,5,7.18544694340461,0.129251700680272
3572,6,3,7,7,9,8,2,2,8,6,4,9,8,8,1,2,6,7,9,1,3,8.06850936929076,0.138321995464853
9168,9,7,8,7,10,9,7,2,10,6,5,8,9,7,8,3,5,7,3,8,3,10.657724471665,0.156462585034014
7242,5,5,6,6,3,5,2,2,4,4,2,5,4,3,5,2,6,6,5,6,4,4.33309165122075,0.219954648526077
734,5,2,5,5,7,6,5,1,9,8,7,5,4,5,5,1,6,7,3,3,4,5.78170857853419,0.174603174603175
12396,7,4,3,6,7,6,5,4,8,9,2,4,1,3,0,7,9,10,8,2,5,7.35278051226824,0.102040816326531
34,9,6,6,8,9,9,4,1,9,1,4,8,6,7,3,1,1,3,2,6,3,7.13029876178867,0.151927437641723
7372,8,1,8,7,9,9,0,0,10,10,1,9,8,10,6,0,10,10,0,5,1,9.92268719910318,0.160997732426304
8858,4,0,3,2,3,2,9,7,4,7,4,3,5,9,3,7,5,8,3,1,5,5.54054961488544,0.142857142857143
8948,3,2,5,5,2,5,5,7,3,2,7,1,1,1,3,9,2,1,9,4,9,4.85110176404674,0.160997732426304
2006,9,2,9,10,7,9,2,7,8,7,7,9,4,8,0,4,9,9,8,1,9,11.056391186948,0.192743764172336
4273,9,2,8,4,8,6,7,2,8,7,3,6,8,8,3,4,6,8,2,1,2,7.40120775210108,0.170068027210884
12947,8,8,9,8,9,10,7,5,10,10,2,6,10,9,7,9,10,8,4,8,3,13.3761628977098,0.170068027210884
8224,8,6,7,7,7,8,0,2,8,8,6,7,6,6,6,2,8,4,5,5,5,8.21879819904184,0.183673469387755
1834,8,7,8,8,7,9,4,3,6,8,8,7,5,6,5,3,9,7,8,4,8,9.66192995563094,0.192743764172336
7273,4,8,5,0,4,1,10,5,1,2,7,7,5,4,9,1,1,1,10,8,8,7.03675376918034,0.142857142857143
7602,3,1,1,9,6,6,5,3,4,7,1,5,5,5,3,5,6,6,4,1,1,4.6725843586058,0.183673469387755
2893,9,6,10,10,9,8,1,2,9,1,0,9,9,9,9,1,1,1,0,7,1,9.20498791962086,0.219954648526077
5840,3,1,2,4,0,0,3,3,2,1,10,2,2,2,0,3,1,1,10,0,9,3.59230391377386,0.179138321995465
9317,6,7,5,9,5,10,0,3,5,4,9,5,3,3,10,3,10,2,9,8,9,9.37844386229203,0.142857142857143
4153,3,5,2,2,4,2,9,6,5,6,6,2,0,2,5,9,6,4,5,4,6,5.25255691855241,0.183673469387755
9631,6,7,7,7,4,4,5,6,6,3,4,5,6,8,9,7,5,6,4,7,4,7.27848622021481,0.197278911564626
7033,6,5,3,2,7,3,8,1,7,5,4,7,5,6,4,2,4,6,7,2,7,5.89271956839476,0.151927437641723
12677,5,7,6,7,2,9,6,4,2,0,10,5,4,5,4,5,6,2,10,6,10,7.5413226483602,0.147392290249433
1745,10,1,3,7,10,9,8,7,9,10,8,9,5,8,5,9,10,10,6,1,8,12.4118009248471,0.160997732426304
11338,2,9,5,5,5,4,7,10,6,7,8,1,2,5,9,9,5,9,8,9,9,10.0109906839443,0.174603174603175
9096,4,7,2,7,9,9,7,8,9,10,0,6,2,1,0,8,9,9,5,2,1,8.95175911379914,0.133786848072562
1629,5,1,7,6,9,8,4,1,8,10,0,7,10,8,4,2,8,9,1,1,0,7.99095387979911,0.124716553287982
205,4,5,4,7,4,3,5,2,4,4,2,4,6,6,4,5,6,3,1,4,2,3.7837199633433,0.219954648526077
10175,7,8,1,5,7,4,4,3,7,3,9,6,6,6,9,4,4,5,10,10,10,9.24206660099304,0.129251700680272
12068,4,6,6,7,9,8,4,4,6,9,4,8,6,4,3,4,9,6,7,3,5,7.94897109572559,0.188208616780045
8278,9,3,5,9,3,5,1,5,4,6,0,9,6,5,9,5,9,7,1,5,2,7.16433112527247,0.174603174603175
5843,0,0,10,0,5,4,9,10,4,7,0,0,10,10,1,10,7,5,0,0,0,7.19850908282649,0.233560090702948
5440,7,5,10,9,9,9,0,7,6,8,1,10,8,5,0,4,1,6,3,2,1,8.14441483899887,0.102040816326531
11487,3,6,5,4,9,8,8,8,6,1,8,5,6,5,8,7,4,2,8,7,7,8.35732850471087,0.160997732426304
4744,8,1,5,9,2,0,3,1,3,4,5,7,4,8,0,3,4,4,3,1,4,4.33700235193443,0.147392290249433
3037,3,10,7,5,1,1,1,1,0,1,3,2,5,6,10,0,1,2,2,10,2,4.55283652159131,0.170068027210884
8629,8,2,9,2,5,5,5,4,7,9,2,4,8,10,0,7,8,9,3,3,4,7.87194854702241,0.124716553287982
10409,7,9,9,8,7,8,2,1,6,3,1,8,8,7,6,4,4,3,7,6,2,7.78461862437486,0.138321995464853
8633,8,0,0,2,6,3,9,5,2,9,3,3,0,2,1,8,8,10,2,0,1,5.46301648623452,0.138321995464853
12213,6,6,7,7,4,6,2,3,5,3,8,6,6,5,6,3,5,4,8,7,9,7.11161922814182,0.165532879818594
9913,2,8,2,2,2,0,10,9,1,0,3,4,5,3,8,8,1,1,4,9,4,5.60219072072168,0.129251700680272
6060,0,9,5,3,1,2,8,10,0,1,5,0,1,1,7,10,2,0,8,8,8,6.60759123649048,0.142857142857143
5942,1,6,2,5,3,7,9,9,3,2,8,1,3,3,6,9,6,3,7,5,6,6.29446381103133,0.151927437641723
2209,2,9,8,3,0,0,3,4,0,0,8,1,8,7,8,5,0,1,9,8,8,6.72933057819705,0.174603174603175
3566,8,1,10,6,3,4,3,2,3,3,1,8,10,9,2,1,4,2,0,1,0,5.37810468983636,0.133786848072562
3916,5,9,4,4,5,6,5,3,4,9,9,5,2,2,9,3,7,9,9,8,8,8.84520163597722,0.170068027210884
8833,10,4,9,9,10,9,3,5,8,8,3,10,10,9,4,1,2,4,8,3,7,10.4971837343606,0.142857142857143
1981,2,7,1,4,1,0,8,9,1,2,10,1,0,3,2,8,2,6,5,3,7,5.31128774838103,0.120181405895692
10376,1,6,1,2,0,0,10,9,2,3,6,1,3,2,6,9,5,5,6,6,6,5.32631277069975,0.160997732426304
3550,3,8,9,2,0,0,8,4,1,1,3,4,7,8,8,5,1,2,4,9,3,5.81587413015416,0.129251700680272
11332,9,1,10,9,10,10,5,3,10,10,1,9,10,9,1,3,10,9,2,0,0,11.3798526952657,0.210884353741497
6991,5,7,9,9,6,10,3,8,2,3,7,6,4,3,2,8,6,1,8,5,8,8.08518021370909,0.120181405895692
9893,9,1,9,8,9,10,5,4,9,7,0,9,10,9,1,5,8,9,1,1,2,10.2647598517466,0.183673469387755
4907,5,4,5,4,5,6,2,3,4,2,3,6,6,8,5,5,5,1,2,2,1,4.08070168890024,0.179138321995465
805,2,2,0,2,2,3,9,8,2,3,5,2,1,2,3,9,4,3,3,2,5,3.74236961294642,0.229024943310658
12696,4,8,0,1,5,5,7,6,5,4,8,3,1,5,2,7,3,4,10,6,9,6.61343959387517,0.111111111111111
753,8,1,7,7,8,7,2,1,9,8,2,6,8,9,0,1,8,6,1,0,2,7.37221292344144,0.160997732426304
197,0,5,1,1,4,3,10,9,2,8,8,2,1,0,4,8,10,6,8,3,8,7.17005574244891,0.129251700680272
11294,2,6,1,1,0,1,9,8,2,1,4,0,0,3,6,10,1,4,3,7,7,4.43792359431901,0.129251700680272
7164,8,0,9,10,10,10,6,4,10,10,0,10,10,8,0,0,10,9,0,0,0,11.04790459718,0.27891156462585
5904,4,7,4,4,5,3,5,4,5,2,7,4,3,2,7,5,4,4,6,6,5,5.06848836331135,0.215419501133787
2144,4,3,7,9,8,7,5,6,2,4,3,8,8,2,2,6,4,3,5,0,2,5.72147497242473,0.129251700680272
8995,0,7,5,0,1,4,3,7,0,9,0,0,4,3,5,9,7,7,5,6,3,5.19887189362136,0.156462585034014
5757,7,8,2,7,7,7,5,4,7,9,5,5,1,3,10,7,9,9,9,9,4,10.0201858754422,0.179138321995465
7365,5,8,1,5,4,3,8,4,4,5,8,3,0,0,10,7,5,3,3,9,7,6.56145125099036,0.138321995464853
9052,1,8,4,0,1,6,4,6,1,9,1,0,5,3,4,9,10,7,4,5,4,5.94986428802215,0.138321995464853
8563,6,9,7,6,9,6,6,8,10,10,9,5,8,10,8,8,6,10,8,9,10,13.6290898986687,0.210884353741497
6005,2,5,4,6,9,7,6,8,5,10,2,5,4,4,2,5,10,8,3,3,3,7.14847209522856,0.129251700680272
12861,9,8,8,10,10,9,3,3,9,10,10,9,8,5,8,4,9,8,9,9,9,14.1536269436494,0.251700680272109
255,7,10,5,7,5,5,5,5,5,4,5,4,5,7,9,5,7,3,7,10,6,8.2640466865028,0.26530612244898
